Item,Store,Price,Link
Oversized Beige Hoodie,H&M,1999,https://www.hm.com
Oversized Beige Hoodie,Myntra,1799,https://www.myntra.com
Oversized Beige Hoodie,Ajio,1499,https://www.ajio.com
Black Cargo Jeans,Myntra,1499,https://www.myntra.com
Black Cargo Jeans,Ajio,1299,https://www.ajio.com
Black Cargo Jeans,Amazon,1199,https://www.amazon.in
White Chunky Sneakers,Puma,2999,https://in.puma.com
White Chunky Sneakers,Ajio,2499,https://www.ajio.com
White Chunky Sneakers,Nike,3999,https://www.nike.com
Cream Knit Sweater,H&M,1899,https://www.hm.com
Cream Knit Sweater,Ajio,1599,https://www.ajio.com
Blue Straight Fit Jeans,Levis,2499,https://www.levi.in
Blue Straight Fit Jeans,Myntra,1999,https://www.myntra.com
White Sneakers,Adidas,2999,https://www.adidas.co.in
White Sneakers,Ajio,1999,https://www.ajio.com
Black Oversized T-shirt,Amazon,699,https://www.amazon.in
Black Oversized T-shirt,H&M,999,https://www.hm.com
Relaxed Grey Jeans,Myntra,1799,https://www.myntra.com
Relaxed Grey Jeans,Ajio,1599,https://www.ajio.com
High Top Sneakers,Converse,3499,https://www.converse.in
High Top Sneakers,Ajio,2799,https://www.ajio.com
Olive Bomber Jacket,Zara,3999,https://www.zara.com
Olive Bomber Jacket,H&M,3499,https://www.hm.com
Slim Fit Black Jeans,Levis,2299,https://www.levi.in
Slim Fit Black Jeans,Amazon,1799,https://www.amazon.in
Leather Boots,H&M,3999,https://www.hm.com
Leather Boots,Zara,4999,https://www.zara.com
